№,P,#,Инфинитив,3 л. настоящего вр.,3 л. прошедшего однократного вр.,Вопрос,Перевод
55,,,apglėbti,apglė́bia,apglė́bė,,"обнять, обхватить"
56,,,apgulti,apgulà,àpgulė,,"осадить, окружить (войсками)"
57,,,apgyvendinti,apgyvéndina,apgyvéndino,,"расселить, разместить"
58,,,apibėgti,apibė́ga,apibė́go,,обегать
59,,,apibrėžti,apibrė́žia,apibrė́žė,,"определить, очертить, дать определение"
60,,,apibūdinti,apibū̃dina,apibū̃dino,,"охарактеризовать, описать"
61,,,apieškoti,apíeško,apieškójo,,обыскать
62,,,apimti,àpima,àpėmė,,"охватить, объять, овладеть (о чувстве)"
63,,,apipavidalinti,apipavìdalina,apipavìdalino,,"оформить, придать вид"
64,,,apipilti,apìpila,apipýlė,,"облить, осыпать (чем-либо)"
65,,,apipinti,apìpina,apipýnė,,"оплести, обвить"
66,,,apipjaustyti,apipjáusto,apipjáustė,,"обрезать, обкромсать"
67,,,apiplėšinėti,apiplėšinė́ja,apiplėšinė́jo,,"грабить, обворовывать (многократно)"
68,,,apiplėšti,apiplė́šia,apiplė́šė,,"ограбить, обокрасть"
69,,,apjuosti,apjúosia,apjúosė,,"опоясать, обвязать"
70,,,apkabinti,apkabìna,apkabìno,,обнять
71,,,apkakoti,apkakoja,apkakojo,,"обкакаться, испачкаться калом"
72,,,apkalbėti,apkalbà,apkalbė́jo,,"обговорить, обсудить; оклеветать, сплетничать"
73,,,apkalti,ãpkala,àpkalė,,"оббить, обшить (досками)"
74,,,apkaltinti,apkaltinà,apkáltino,,обвинить
75,,,apkarsti,apkar̃sta,apkárto,,"огорчиться, опротиветь"
76,,,apkeisti,apkeičia,apkeitė,,обменять
77,,,apkeliauti,apkeliáuja,apkeliãvo,,"объехать, объездить"
78,,,apkepinti,apkepina,apkepino,,"обжарить, подрумянить"
79,,,apkerėti,àpkeri,apkerė́jo,,"околдовать, очаровать"
80,,,apkerpėti,apkerpė́ja,apkerpė́jo,,"покрыться мхом/лишайником, замшеть"
81,,,apkęsti,apkenčia,apkentė,,"вытерпеть, перенести"
82,,,apkirpti,àpkerpa,apkir̃po,,"обрезать, остричь"
83,,,apklausti,apkláusia,apklaũsė,,"опросить, допросить"
84,,,apkloti,apklója,apklójo,,"укрыть, накрыть"
85,,,apkrėsti,apkrėčia,àpkrėtė,,заразить
86,,,apkursti,apkur̃sta,apkur̃to,,оглохнуть
87,,,apkurtinti,apkurtinà,apkur̃tino,,оглушить
88,,,apkvailinti,apkvaĩlina,apkvaĩlino,,"одурачить, обмануть"
89,,,apkvaisti,apkvaĩsta,apkvaĩto,,"одурманиться, опьянеть"
90,,,aplankyti,aplañko,aplañkė,,"посетить, навестить"
91,,,apleisti,apléidžia,apléido,,"забросить, оставить (в плохом состоянии)"
92,,,aplenkti,apleñkia,àplenkė,,"обогнать, опередить"
93,,,aplopyti,aplopija,aplópė,,"залатать, заштопать"
94,,,aploti,aplója,aplójo,,облаять
95,,,aplyti,aplyja,aplijo,,"облить дождем, промокнуть под дождем"
96,,,apmalšinti,apmalšìna,apmalšìno,,"унять, успокоить, подавить"
97,,,apmąstyti,apmą̃sto,apmą̃stė,,"обдумать, осмыслить"
98,,,apmauti,apmáuna,apmóvė,,надеть (на что-то); обмануть (разг.)
99,,,apmėtyti,apmė́to,apmė́tė,,"обкидать, забросать"
100,,,apmokėti,apmóka,apmokė́jo,,"оплатить, расплатиться"
101,,,apmokyti,apmóko,apmókė,,"обучить, научить"
102,,,apmulkinti,apmùlkina,apmùlkino,,"одурачить, обмануть"
103,,,apmušti,apmuša,àpmušė,,"оббить, избить (со всех сторон)"
104,,,apmyžti,apmyža,apmyžo,,"обмочиться, обписать"
105,,,apnikti,apniñka,apnìko,,"напасть, одолеть (о болезни, мыслях)"
106,,,apniukti,apniuñka,apniùko,,"нахмуриться, омрачиться"
107,,,apraminti,apramìna,apramìno,,успокоить
108,,,aprašyti,ãprašo,aprãšė,,описать
109,,,apriboti,apribója,apribójo,,ограничить
110,,,aprobuoti,aprobúoja,aprobãvo,,"апробировать, одобрить"
111,,,aprodyti,apródo,apródė,,"показать (вокруг), ознакомить"
112,,,aprūpinti,aprū́pina,aprū́pino,,"снабдить, обеспечить"
113,,,apsakyti,apsãko,apsãkė,,"рассказать, описать"
114,,,apsalti,apsą̃la,apsãlo,,"приторно сладким стать, приторно-сладким казаться"
115,,,apšaudyti,apšáudo,apšáudė,,обстрелять
116,,,apsaugoti,apsáugoja,apsáugojo,,"защитить, обезопасить"
117,,,apsėsti,apsė́da,apsė́do,,"обсесть, овладеть (о духе, мысли)"
118,,,apsiauti,apsiauna,apsiavė,ką? / kuo?,обуваться
119,,,apsibrėžti,apsibrė́žia,apsibrė́žė,,"определиться, очертить себя"
120,,,apsidairyti,apsidaĩro,apsidaĩrė,,оглядеться
121,,,apsidžiaugti,apsidžiaũgia,apsìdžiaugė,,обрадоваться
122,,,apsieiti,apsieĩna,apsiė̃jo,,"обойтись (без чего-то), справиться"
123,,,apsigalvoti,apsigalvója,apsigalvójo,,"передумать, обдумать"
124,,,apsigimti,apsigimsta,apsigimė,,"родиться (с каким-то недостатком), выродиться"
125,,,apsigyventi,apsigyvena,apsigyveno,,поселиться
126,,,apsikabinti,apsikabìna,apsikabìno,,обняться
127,,,apsikeisti,apsikeĩčia,apsìkeitė,,обменяться
128,,,apsikirpti,apsikerpa,apsikir̃po,,постричься
129,,,apsilankyti,apsilañko,apsilañkė,,"посетить, навестить"
130,,,apsileisti,apsiléidžia,apsiléido,,"распуститься, запустить себя"
131,,,apsimesti,apsìmeta,apsìmetė,,"притвориться, прикинуться"
132,,,apsimeti,apsìmeta,apsìmetė,,притворяться
133,,,apsimetinėti,apsimetinė́ja,apsimetinė́jo,,"притворяться (многократно), симулировать"
134,,,apsimokėti,apsimóka,apsimokė́jo,,"окупиться, быть выгодным"
135,,,apsiniaukti,apsiniáukia,apsiniáukė,,"нахмуриться (о небе), затянуться тучами"
136,,,apsinuodyti,apsinuodija,apsinuodijo,kuo?,отравиться
137,,,apsipirkti,apsìperka,apsipir̃ko,,"закупиться, сделать покупки"
138,,,apsiraminti,apsiramìna,apsiramìno,,успокоиться
139,,,apsireikšti,apsiréiškia,apsiréiškė,,"проявиться, явиться"
140,,,apsirengti,apsirengia,apsirengė,ką? / kuo?,одеться
141,,,apsiriboti,apsiribója,apsiribójo,,ограничиться
142,,,apsirikti,apsiriñka,apsirìko,,ошибиться
143,,,apsiskaityti,apsiskaito,apsiskaitė,,начитаться
144,,,apsispręsti,apsispréndžia,apsispréndė,,"решиться, принять решение"
145,36,3,apsistóti,apsistója,apsistójo,,остановиться (в значении проживать)
146,,,apsisukti,apsìsuka,apsisùko,,"обернуться, повернуться"
147,,,apsitarti,apsitaria,apsìtarė,,"посоветоваться, договориться"
148,,,apsitvarkyti,apsitvar̃ko,apsitvar̃kė,,"прибраться, привести себя в порядок"
149,,,apsivalgyti,apsivalgo,apsivalgė,,объесться
150,,,apsivemti,apsivemia,apsivė́mė,,"облеваться, стошнить"
151,,,apsiverkti,apsiver̃kia,apsìverkė,,расплакаться
152,,,apsiversti,apsiver̃čia,apsìvertė,,перевернуться
153,,,apsivesti,apsìveda,apsìvedė,,"жениться (о мужчине), выйти замуж (о женщине)"
154,,,apsivilkti,apsìvelka,apsivil̃ko,,"одеться, накинуть (одежду)"
155,,,apsivogti,apsivogia,apsìvogė,,"обвороваться (стать вором, или быть пойманным на воровстве)"
156,,,apsižiūrėti,apsižiūrì,apsižiūrė́jo,,"осмотреться, присмотреться"
157,,,apsižliumbti,apsižliumbia,apsižliumbė,,"расплакаться, разреветься"
158,,,apsižodžiuoti,apsižodžiuoja,apsižodžiãvo,,"обменяться словами, поссориться (словесно)"
159,,,apsižvalgyti,apsižval̃go,apsižval̃gė,,"оглядеться, осмотреться"
160,,,apskaičiuoti,apskaičiúoja,apskaičiãvo,,"рассчитать, подсчитать"
161,,,apskrieti,apskríeja,apskríejo,,облететь (вокруг)
162,,,apsnigti,apsniñga,apsnìgo,,"засыпать снегом, занести снегом"
163,,,apspisti,apspiñta,apspìto,,"облепить, обступить (о насекомых, толпе)"
164,,,apspręsti,apspréndžia,apspréndė,,"решить, определить"
165,,,apstatyti,apstãto,apstãtė,,"обставить (мебелью), окружить (постройками)"
166,,,apstoti,apstója,apstójo,,"окружить, обступить"
167,,,apstulbinti,apstul̃bina,apstul̃bino,,"ошеломить, остолбенить"
168,,,apstulbti,apstul̃bsta,apstul̃bo,,"остолбенеть, оцепенеть"
169,,,apsukti,àpsuka,apsùko,,"обернуть, закрутить"
170,,,apsunkinti,apsuñkina,apsuñkino,,"усложнить, отяготить"
171,,,apsupti,àpsupa,apsùpo,,окружить
172,,,apšvarinti,apšvãrina,apšvãrino,,"очистить, отмыть"
173,,,apsvarstyti,apsvar̃sto,apsvar̃stė,,"обдумать, рассмотреть"
174,,,apšviesti,apšviẽčia,àpšvietė,,осветить
175,,,aptarinėti,aptarinėja,aptarinėjo,,"обсуждать, рассматривать (многократно)"
176,,,aptarnauti,aptarnáuja,aptarnãvo,,обслуживать
177,,,aptarti,àptaria,àptarė,,обсудить
178,,,aptemdyti,aptémdo,aptémdė,,"затемнить, омрачить"
179,,,aptemti,aptémsta,aptemo,,"потемнеть, омрачиться"
180,,,aptikti,aptiñka,aptìko,,"обнаружить, найти"
181,,,aptverti,àptveria,aptvė́rė,,"огородить, обнести забором"
182,,,apvainikuoti,apvainikúoti,apvainikãvo,,увенчать
183,,,apvaisinti,apvaisìna,apvaisìno,,оплодотворить
184,,,apvalyti,apvaló,apvãlė,,очистить
185,,,apversti,apver̃čia,àpvertė,,перевернуть
186,,,apvesti,àpveda,àpvedė,,"обвести (линию), обвести (вокруг)"
187,,,apvilkti,àpvelka,apvil̃ko,,"облечь, накинуть (одежду)"
188,,,apvilti,àpvilia,apvýlė,,"разочаровать, обмануть (надежды)"
189,,,apvirsti,apvir̃sta,apvir̃to,,"опрокинуться, перевернуться"
190,,,apvogti,apvogia,àpvogė,,обокрасть
191,,,apvynioti,apvyniója,apvyniójo,,"обмотать, обернуть"
192,,,apžavėti,àpžavi,apžavė́jo,,"очаровать, околдовать"
193,,,apželti,àpželia,apžė́lė,,"зарасти (травой, волосами)"
194,,,apžiūrėti,apžiū̃ri,apžiūrė́jo,,осмотреть
195,,,apžlibti,apžlimba,apžlìbo,,"ослепнуть (частично), подслеповатым стать"
196,,,apžvelgti,apžvel̃gia,àpžvelgė,,"обозреть, окинуть взглядом"
197,,,ardyti,ar̃do,ar̃dė,,"разрушать, разбирать"
198,,,areštuoti,areštúoja,areštãvo,,арестовать
199,,,artėti,artė́ja,artė́jo,,приближаться
200,,,arti,ãria,ãrė,,пахать
201,,,artinti,ar̃tina,ar̃tino,,приближать
202,,,artintis,ar̃tinasi,ar̃tinosi,,приближаться
203,,,asimiliuoti,asimiliúoja,asimiliãvo,,ассимилировать
204,,,asmenuoti,asmenúoja,asmenãvo,,спрягать (глагол)
205,,,asocijuoti,asocijúoja,asocijavo,,ассоциировать
206,,,atakuoti,atakúoja,atakãvo,,атаковать
207,,,atarti,àtaria,àtarė,,отпахать
208,,,atbėgti,atbė́ga,atbė́go,,прибежать
209,,,atburti,àtburia,atbūrė,,"отворожить, снять чары"
210,,,ateiti,ateĩna,atė̃jo,,прийти
211,,,atgabenti,atgabẽna,atgabẽno,,"доставить, привезти"
212,,,atgailauti,atgailáuja,atgailãvo,,раскаиваться
213,,,atgaivinti,atgaivìna,atgaivìno,,"оживить, освежить"
214,,,atgauti,atgáuna,atgãvo,,"вернуть, получить обратно"
215,,,atgimti,atgìmsta,àtgimė,,возродиться
216,,,atgręžti,atgrę̃žia,àtgręžė,,"отвести (взгляд), отвратить"
217,,,atgulti,àtgula,atgulėjo,,"отлечься, лечь обратно"
218,,,atgyti,atgija,atgìjo,,"оживать, воскреснуть"
219,,,atidaryti,atidaro,atidarė,ką?,открыть
220,,,atidėlioti,atidėliója,atidėliójo,,"откладывать (многократно), медлить"
221,,,atidengti,atideñgia,atìdengė,,"открыть, обнажить"
222,,,atidėti,atìdeda,atidė́jo,,отложить
223,,,atidirbti,atidìrba,atidìrbo,,отработать
224,,,atiduoti,atiduoda,atidavė,ką?,отдать
225,,,atimti,àtima,atėmė,,"отнять, забрать"
226,,,atitaisyti,atitaĩso,atitaĩsė,,"исправить, починить"
227,,,atitekti,atiteñka,atitẽko,,"достаться, перейти (по наследству)"
228,,,atitikti,atitiñka,atitìko,,соответствовать
229,,,atitirpdyti,atitirpdo,atitir̃pdė,,"разморозить, оттаять (что-то)"
230,,,atitolinti,atitólina,atitólino,,отдалить
231,,,atitraukti,atitráukia,atitráukė,,"оттянуть, отвлечь"
232,,,atitrūkti,atitrū́ksta,atitrū́ko,,"оторваться, отделиться"
233,,,atjungti,atjùngia,atjùngė,,отключить
234,,,atkalbėti,atkalbà,atkalbė́jo,,отговорить
235,,,atkalbinėti,atkalbinė́ja,atkalbinė́jo,,отговаривать (многократно)
236,,,atkartoti,atkartója,atkartójo,,"повторить (слово в слово), воспроизвести"
237,,,atkasti,àtkasa,atkãsė,,откопать
238,,,atkelti,àtkelia,atkė́lė,,"поднять, отложить (в сторону)"
239,,,atkeršyti,atker̃šija,atker̃šijo,,отомстить
240,,,atkimšti,àtkemša,atkìmšo,,"откупорить, раскупорить"
241,,,atkirsti,atkertà,atkir̃to,,"отрезать, отрубить; отпарировать (словом)"
242,,,atkreipti,atkreĩpia,àtkreipė,,обратить (внимание)
243,,,atkurti,àtkuria,atkū́rė,,"восстановить, воссоздать"
244,,,atlaikyti,atlaĩko,atlaĩkė,,"выдержать, выстоять"
245,,,atlaisvinti,atláisvina,atláisvino,,освободить
246,37,4,atleisti,atleidžia,atleido,už ką? / kam? / ką?,"простить, уволить"
247,,,atlikinėti,atlikinė́ja,atlikinė́jo,,"выполнять (многократно), исполнять"
248,,,atlikti,atliẽka,atlìko,,"выполнить, исполнить"
249,,,atlyginti,atlýgina,atlýgino,,"возместить, вознаградить"
250,,,atmesti,àtmeta,àtmetė,,"отбросить, отклонить"
251,,,atminti,àtmina,atmýnė,,помнить
252,,,atmušti,àtmuša,àtmušė,,отбить
253,,,atnarplioti,atnárplioja,atnárpliojo,,распутать
254,,,atnaujinti,atnaũjina,atnaũjino,,обновить
255,,,atnešti,àtneša,àtnešė,,принести
256,38,5,atostogáuti,atostogáuja,atostogãvo,,"находиться в отпуске, проводить каникулы"
257,,,atpalaiduoti,atpalaidúoja,atpalaidãvo,,"расслабить, освободить"
258,,,atpasakoti,atpãsakoja,atpãsakojo,,пересказать
259,,,atpažinti,atpažį́sta,atpažìno,,"узнать, опознать"
260,,,atplaukti,atplaũkia,atplaũkė,,приплыть
261,,,atplėšti,atplešia,atplė́šė,,"оторвать, отклеить"
262,,,atrakinti,atrakina,atrakino,ką? / kuo?,отпереть
263,,,atrasti,atrañda,atrãdo,,"найти, открыть (сделать открытие)"
264,,,atrašyti,ãtrašo,atrãšė,,ответить (письменно)
265,,,atremti,àtremia,àtrėmė,,"отбить, отразить; опереть"
266,,,atriekti,atriẽkia,àtriekė,,"отрезать (кусок), отломить"
267,,,atrinkti,àtrenka,atriñko,,"отобрать, выбрать"
268,,,atrišti,àtriša,atrìšo,,"отвязать, развязать"
269,39,6,atródyti,atródo,atródė,,казаться; выглядеть
270,,,atsakinėti,atsakinė́ja,atsakinė́jo,,отвечать (многократно)
271,40,7,atsakýti,atsãko,atsãkė,,"ответить, отвечать"
272,,,atšaldyti,atšáldo,atšáldė,,охладить
273,,,atšalti,atšąla,atšalo,,остыть
274,,,atšaukti,atšaũkia,àtšaukė,,"отозвать, отменить"
275,,,atsegti,àtsega,àtsegė,,расстегнуть
276,,,atsekti,àtseka,àtsekė,,"отследить, выследить"
277,,,atsibosti,atsibósta,atsibódo,,надоесть
278,,,atsibučiuoti,atsibučiúoja,atsibučiãvo,,расцеловаться
279,,,atsibusti,atsibunda,atsibudo,,проснуться
280,,,atsidaryti,atsidãro,atsidãrė,,открыться
281,,,atsidėkoti,atsidėkója,atsidėkójo,,отблагодарить
282,,,atsiduoti,atsidúoda,atsìdavė,,"отдаться, посвятить себя"
283,,,atsidusti,atsidū̃sta,atsidùso,,вздохнуть
284,,,atsieiti,atsieĩna,atsiė̃jo,,обойтись (в какую-то сумму)
285,,,atsigauti,atsigáuna,atsigãvo,,"оправиться, прийти в себя"
286,,,atsigerti,atsìgeria,atsigė́rė,,"напиться, попить"
287,,,atsigirdėti,atsigirdi,atsigirdėjo,,послышаться
288,,,atsigręžti,atsigrę̃žia,atsìgręžė,,"обернуться, оглянуться"
289,,,atsigriebti,atsigriẽbia,atsìgriebė,,"отыграться, наверстать"
290,,,atsigulti,atsigulia,atsìgulė,,лечь
291,,,atsiimti,atsìima,atsìėmė,,"забрать обратно, взять назад"
292,,,atsijungti,atsijùngia,atsijùngė,,"отключиться, отсоединиться"
293,,,atsikartoti,atsikartója,atsikartójo,,повториться
294,,,atsikąsti,atsikánda,atsikándo,,откусить
295,,,atsikelti,atsìkelia,atsikė́lė,,"встать, подняться"
296,,,atsiklaupti,atsiklaũpia,atsìklaupė,,встать на колени
297,,,atsiklausti,atsikláusia,atsiklaũsė,,"спросить разрешения, осведомиться"
298,,,atsikratyti,atsikrãto,atsikrãtė,,избавиться
299,,,atsikvėpti,atsikvėpia,atsìkvėpė,,"перевести дух, отдохнуть"
300,,,atsilaikyti,atsilaĩko,atsilaĩkė,,"устоять, выстоять"
301,41,8,atsiliẽpti,atsiliẽpia,atsìliepė,į ką?,"откликнуться, откликаться; отозваться, отзываться"
302,,,atsilikti,atsiliẽka,atsilìko,,отстать
303,,,atšilti,atšyla,atšilo,,потеплеть
304,,,atsilyginti,atsilýgina,atsilýgino,,"отплатить, вознаградить"
305,,,atsimesti,atsìmeta,atsìmetė,,"отпасть, отбросить (себя)"
306,42,9,atsimiñti,atsìmena,atsìminė,ką?,"вспоминать,помнить,припоминать"
307,,,atsinešti,atsìneša,atsìnešė,,принести (с собой)
308,,,atsipalaiduoti,atsipalaidúoja,atsipalaidãvo,,расслабиться
309,,,atsipirkti,atsìperka,atsipir̃ko,,откупиться
310,,,atsiplėšti,atsiplė́šia,atsiplė́šė,,оторваться
311,,,atsiprašinėti,atsiprašinė́ja,atsiprašinė́jo,,извиняться (многократно)
312,43,10,atsiprašýti,atsiprãšo,atsiprãšė,ko? / už ką? / dėl ko?,"извиниться, принести извинения, просить прощения"
313,,,atsirasti,atsirañda,atsirãdo,,"появиться, найтись"
314,,,atsiremti,atsìremia,atsìrėmė,,опереться
315,44,11,atsisakýti,atsisãko,atsisãkė,ko?,"отказаться, отказываться"
316,,,atsisėsti,atsisė́da,atsisė́do,,сесть
317,,,atsisiųsti,atsisiuñčia,atsìsiuntė,,"скачать, загрузить"
318,,,atsiskaityti,atsiskaĩto,atsiskaĩtė,,"рассчитаться, отчитаться"
319,,,atsiskleisti,atsiskleĩdžia,atsìskleidė,,раскрыться
320,,,atsispindėti,atsispiñdi,atsispindė́jo,,отразиться
321,,,atsispirti,atsìspiria,atsispýrė,,"оттолкнуться, отбиться"
322,,,atsistatydinti,atsistatýdina,atsistatýdino,,"уйти в отставку, подать в отставку"
323,,,atsistoti,atsistója,atsistójo,,встать
324,,,atsisukti,atsìsuka,atsisùko,,"отвернуться, повернуться (назад)"
325,,,atsišvartuoti,atsišvartúoja,atsišvartãvo,,отшвартоваться
326,,,atsisveikinti,atsisvéikina,atsisvéikino,,попрощаться
327,,,atsitikti,atsitiñka,atsitìko,,"случиться, произойти"
328,,,atsitraukti,atsitráukia,atsitráukė,,"отступить, отойти"
329,,,atsitrenkti,atsitreñkia,atsìtrenkė,,"врезаться, удариться"
330,,,atsitūpti,atsìtupia,atsitū̃pė,,"присесть, присесть на корточки"
331,,,atsiųsti,atsiuñčia,àtsiuntė,,прислать
332,,,atsiveikinti,atsisvéikina,atsisvéikino,,попрощаться
333,,,atsiversti,atsiver̃čia,atsìvertė,,"перевернуться (о странице), обратиться (в веру)"
334,,,atsiverti,atsìveria,atsivė́rė,,открыться
335,,,atsivesti,atsìveda,atsìvedė,,привести (с собой)
336,,,atsivežti,atsìveža,atsìvežė,,привезти (с собой)
337,,,atsivilioti,atsiviliója,atsiviliójo,,"выманить, заманить (обратно)"
338,,,atsižadėti,atsìžada,atsižadė́jo,,отречься
339,,,atsižavėti,atsižavi,atsižavėjo,,"восхититься, очароваться"
340,,,atsižvelgti,atsižvel̃gia,atsìžvelgė,,"учесть, принять во внимание"
341,,,atskirti,àtskiria,atskýrė,,"отделить, различить"
342,,,atskleisti,atskleĩdžia,atsikléidė,,"раскрыть, выявить"
343,,,atskristi,àtskrenda,atskrìdo,,прилететь
344,,,atskubėti,àtskuba,atskubė́jo,,"поспешить, примчаться"
345,,,atslūgti,atslū́gsta,atslū́go,,"спасть (о воде, волнении), утихнуть"
346,,,atšnekėti,atšneka,atšnekėjo,,"отговорить, отболтать"
347,,,atšokti,atšóka,atšóko,,"отскочить, отпрыгнуть"
348,,,atspardyti,atspardo,atspardė,,"отбить (ногами), отпинать"
349,,,atspausdinti,atspáusdina,atspáusdino,,"распечатать, отпечатать"
350,,,atspėti,atspė́ja,atspė́jo,,отгадать
351,,,atspindėti,atspiñdi,atspindė́jo,,отражать
352,,,atspirti,atspiria,atspyrė,,"оттолкнуть, отбить"
353,,,atstatyti,atstãto,atstãtė,,"восстановить, отстроить"
354,,,atstoti,atstója,atstójo,,"заменить, отстоять (место)"
355,,,atstovauti,atstováuja,atstovãvo,,"представлять (интересы), быть представителем"
356,,,atstumti,àtstumia,atstū́mė,,"оттолкнуть, отстранить"
357,,,atsukti,àtsuka,atsùko,,"открутить, отвернуть"
358,,,atšvęsti,atšveñčia,àtšventė,,отпраздновать
359,,,atvaizduoti,atvaizdúoja,atvaizdãvo,,"изобразить, отобразить"
360,,,atvargti,atvargsta,atvar̃go,,"отмучиться, отработать (тяжело)"
361,,,atvažiuoti,atvažiúoja,atvažiãvo,,приехать
362,,,atversti,atver̃čia,àtvertė,,"перевернуть (страницу), открыть (книгу)"
363,,,atverti,àtveria,atvė́rė,,открыть
364,,,atvesti,àtveda,àtvedė,,привести
365,,,atvežti,àtveža,àtvežė,,привезти
366,,,atvilioti,atviliója,atviliójo,,"выманить, заманить (обратно)"
367,,,atvykti,atvỹksta,atvỹko,,"прибыть, приехать"
368,,,atžymėti,atžỹmi,atžymė́jo,,отметить
369,,,audėti,auda,audė́jo,,ткать
370,45,12,augìnti,augìna,augìno,ką?,"выращивать,растить"
371,46,13,áugti,áuga,áugo,,расти
372,47,14,áuklėti,áuklėja,áuklėjo,ką?,"воспитать, воспитывать"
373,,,aukoti,aukója,aukójo,,жертвовать
374,,,aukštinti,áukština,áukštino,,"возвышать, превозносить"
375,,,auksuoti,auksúoja,auksãvo,,золотить
376,,,austi,áudžia,áudė,,ткать
377,,,auti,auna,avė,ką? / kuo?,обувать
378,48,15,aũtis,aũnasi,ãvėsi,ką? / kuo?,"обуваться, разуваться"
379,,,automatizuoti,automatizúoja,automatizavo,,автоматизировать
380,,,avėti,avi,avėjo,ką? / kuo?,носить обувь
381,,,badauti,badáuja,badãvo,,голодать
382,,,badyti,bãdo,bãdė,,"колоть, тыкать"
383,,,baidyti,baĩdo,baĩdė,,"пугать, отпугивать"
384,,,baidytis,baĩdosi,baĩdėsi,,"пугаться, бояться"
385,49,16,bai̇g̃ti,bai̇g̃ia,bai̇g̃ė,ką?,"кончить,кончать, завершить, завершать, закончить"
386,50,17,baĩgtis,baĩgiasi,baĩgėsi,,"кончаться,завершаться"
387,,,baiminti,báimina,báimino,,"пугать, страшить"
388,,,baimintis,báiminasi,báiminosi,,"бояться, опасаться"
389,,,baisėti,baisėja,baisėjo,,"ужасаться, приходить в ужас"
390,,,baisėtis,baĩsisi,baisė́josi,,"ужасаться, приходить в ужас"
391,,,bakstelėti,bãksteli,bãkstelėjo,,"ткнуть, стукнуть (слегка)"
392,,,balansuoti,balansúoja,balansãvo,,балансировать
393,,,balinti,bãlina,bãlino,,белить
